include_in_hourly_primary,microcolony_pair,microcolony_ids,exposure_date,source_date,relative_period,target_hour,selected_minute,selection_status,day_status,video_id,filename_camera_label,source_video_path,symlink_path
true,MCs-1-and-2,1;2,2026-02-23,2026-02-23,pre_exposure_folder,00,00,exact_hh00,partial_day,bumblebox-19_2026-02-23_00_00_03,bumblebox-19,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-1-and-2/pre-exposure/bumblebox-19_2026-02-23_00_00_03.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-1-and-2/pre/2026-02-23/bumblebox-19_2026-02-23_00_00_03.mp4
true,MCs-1-and-2,1;2,2026-02-23,2026-02-23,pre_exposure_folder,01,00,exact_hh00,partial_day,bumblebox-19_2026-02-23_01_00_03,bumblebox-19,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-1-and-2/pre-exposure/bumblebox-19_2026-02-23_01_00_03.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-1-and-2/pre/2026-02-23/bumblebox-19_2026-02-23_01_00_03.mp4
true,MCs-1-and-2,1;2,2026-02-23,2026-02-23,pre_exposure_folder,02,00,exact_hh00,partial_day,bumblebox-19_2026-02-23_02_00_03,bumblebox-19,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-1-and-2/pre-exposure/bumblebox-19_2026-02-23_02_00_03.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-1-and-2/pre/2026-02-23/bumblebox-19_2026-02-23_02_00_03.mp4
true,MCs-1-and-2,1;2,2026-02-23,2026-02-23,pre_exposure_folder,03,00,exact_hh00,partial_day,bumblebox-19_2026-02-23_03_00_02,bumblebox-19,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-1-and-2/pre-exposure/bumblebox-19_2026-02-23_03_00_02.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-1-and-2/pre/2026-02-23/bumblebox-19_2026-02-23_03_00_02.mp4
true,MCs-1-and-2,1;2,2026-02-23,2026-02-23,pre_exposure_folder,04,00,exact_hh00,partial_day,bumblebox-19_2026-02-23_04_00_03,bumblebox-19,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-1-and-2/pre-exposure/bumblebox-19_2026-02-23_04_00_03.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-1-and-2/pre/2026-02-23/bumblebox-19_2026-02-23_04_00_03.mp4
true,MCs-1-and-2,1;2,2026-02-23,2026-02-23,pre_exposure_folder,05,00,exact_hh00,partial_day,bumblebox-19_2026-02-23_05_00_03,bumblebox-19,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-1-and-2/pre-exposure/bumblebox-19_2026-02-23_05_00_03.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-1-and-2/pre/2026-02-23/bumblebox-19_2026-02-23_05_00_03.mp4
true,MCs-1-and-2,1;2,2026-02-23,2026-02-23,pre_exposure_folder,06,00,exact_hh00,partial_day,bumblebox-19_2026-02-23_06_00_03,bumblebox-19,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-1-and-2/pre-exposure/bumblebox-19_2026-02-23_06_00_03.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-1-and-2/pre/2026-02-23/bumblebox-19_2026-02-23_06_00_03.mp4
true,MCs-1-and-2,1;2,2026-02-23,2026-02-23,pre_exposure_folder,07,00,exact_hh00,partial_day,bumblebox-19_2026-02-23_07_00_03,bumblebox-19,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-1-and-2/pre-exposure/bumblebox-19_2026-02-23_07_00_03.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-1-and-2/pre/2026-02-23/bumblebox-19_2026-02-23_07_00_03.mp4
true,MCs-1-and-2,1;2,2026-02-23,2026-02-23,pre_exposure_folder,08,00,exact_hh00,partial_day,bumblebox-19_2026-02-23_08_00_06,bumblebox-19,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-1-and-2/pre-exposure/bumblebox-19_2026-02-23_08_00_06.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-1-and-2/pre/2026-02-23/bumblebox-19_2026-02-23_08_00_06.mp4
true,MCs-1-and-2,1;2,2026-02-23,2026-02-22,pre_exposure_folder,17,30,fallback_hh30_missing_hh00,partial_day,bumblebox-19_2026-02-22_17_30_04,bumblebox-19,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-1-and-2/pre-exposure/bumblebox-19_2026-02-22_17_30_04.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-1-and-2/pre/2026-02-22/bumblebox-19_2026-02-22_17_30_04.mp4
