microcolony_pair,microcolony_ids,exposure_date,source_date,relative_period,include_in_hourly_primary,selected_videos,missing_hours,day_status
MCs-9-and-10,9;10,2026-03-02,2026-03-01,pre_dose_d_minus_1,true,24,,full_24_hours
MCs-9-and-10,9;10,2026-03-02,2026-03-05,post_dose_d_plus_3,true,24,,full_24_hours
MCs-11-and-12,11;12,2026-03-02,2026-03-01,pre_dose_d_minus_1,true,0,00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23,missing_day
MCs-11-and-12,11;12,2026-03-02,2026-03-05,post_dose_d_plus_3,true,21,21;22;23,partial_day
MCs-13-and-14,13;14,2026-03-02,2026-03-01,pre_dose_d_minus_1,true,24,,full_24_hours
MCs-13-and-14,13;14,2026-03-02,2026-03-05,post_dose_d_plus_3,true,24,,full_24_hours
MCs-15-and-16,15;16,2026-03-02,2026-03-01,pre_dose_d_minus_1,true,0,00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23,missing_day
MCs-15-and-16,15;16,2026-03-02,2026-03-05,post_dose_d_plus_3,true,24,,full_24_hours
MCs-17-and-18,17;18,2026-03-16,2026-03-15,pre_dose_d_minus_1,true,24,,full_24_hours
MCs-17-and-18,17;18,2026-03-16,2026-03-19,post_dose_d_plus_3,true,24,,full_24_hours
MCs-19-and-20,19;20,2026-03-16,2026-03-15,pre_dose_d_minus_1,true,24,,full_24_hours
MCs-19-and-20,19;20,2026-03-16,2026-03-19,post_dose_d_plus_3,true,24,,full_24_hours
MCs-21-and-22,21;22,2026-03-16,2026-03-15,pre_dose_d_minus_1,true,24,,full_24_hours
MCs-21-and-22,21;22,2026-03-16,2026-03-18,post_dose_d_plus_2_substitute,true,24,,full_24_hours
MCs-21-and-22,21;22,2026-03-16,2026-03-19,partial_original_post_dose_d_plus_3,false,2,02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23,partial_day
MCs-23-and-24,23;24,2026-03-16,2026-03-15,pre_dose_d_minus_1,true,24,,full_24_hours
MCs-23-and-24,23;24,2026-03-16,2026-03-19,post_dose_d_plus_3,true,24,,full_24_hours
