round,treatment,mc,pre_videos,post_videos,total_videos
1,control,8,24,24,48
1,0.5ppb,1,24,24,48
1,1ppb,7,24,24,48
1,2.5ppb,6,22,24,46
1,5ppb,4,24,24,48
1,10ppb,2,24,24,48
1,20ppb,5,22,24,46
1,100ppb,3,24,24,48
2,control,11,0,21,21
2,0.5ppb,14,36,24,60
2,1ppb,13,36,24,60
2,2.5ppb,9,24,24,48
2,5ppb,12,0,21,21
2,10ppb,16,0,24,24
2,20ppb,15,0,24,24
2,100ppb,10,24,24,48
3,control,22,36,24,60
3,0.5ppb,21,36,24,60
3,1ppb,19,24,24,48
3,2.5ppb,20,24,24,48
3,5ppb,23,24,24,48
3,10ppb,17,47,24,71
3,20ppb,18,47,24,71
3,100ppb,24,24,24,48
