metric,value
full_manifest_rows,618
assumed_completed_mc9_24_rows,333
excluded_rows_found_in_full_manifest,333
complement_rows,285
duplicate_source_paths_in_complement,0
missing_source_paths_in_complement,0

period,count
post,144
pre,141

microcolony_pair,count
MCs-1-and-2,48
MCs-13-and-14,24
MCs-15-and-16,12
MCs-17-and-18,35
MCs-21-and-22,24
MCs-3-and-4,48
MCs-5-and-6,46
MCs-7-and-8,48

augmentation_reason,count
base_hourly,147
blur_compensation_0.5ppb,24
blur_compensation_10ppb,23
post_compensate_blurry_mc1_2,48
pre_fill_to_24_if_possible,43
